13	10.25625	13.675	180	0	3	3	4
13	6.8375	13.675	270	0	3	2	4
13	3.41875	13.675	90	0	3	1	4
13	0	13.675	180	0	3	0	4
-1	44.443752	10.25625	90	0	-1	13	3
8	41.025	10.25625	180	14	0	12	3
0	37.60625	10.25625	270	2	1	11	3
0	34.1875	10.25625	270	2	1	10	3
0	30.768751	10.25625	270	2	1	9	3
13	27.35	10.25625	180	0	3	8	3
13	23.93125	10.25625	0	0	3	7	3
13	20.5125	10.25625	180	0	3	6	3
13	17.09375	10.25625	270	0	3	5	3
13	13.675	10.25625	0	0	3	4	3
13	10.25625	10.25625	180	0	3	3	3
13	6.8375	10.25625	270	0	3	2	3
13	3.41875	10.25625	0	0	3	1	3
13	0	10.25625	0	0	3	0	3
3	44.443752	6.8375	0	3.5	1	13	2
3	41.025	6.8375	0	3.5	1	12	2
3	37.60625	6.8375	0	3.5	1	11	2
3	34.1875	6.8375	0	3.5	1	10	2
12	30.768751	6.8375	0	0	4	9	2
13	27.35	6.8375	180	0	3	8	2
13	23.93125	6.8375	0	0	3	7	2
14	20.5125	6.8375	270	7	1	6	2
0	17.09375	6.8375	180	2	1	5	2
13	13.675	6.8375	180	0	3	4	2
2	10.25625	6.8375	270	4	0	3	2
0	6.8375	6.8375	0	2	1	2	2
13	3.41875	6.8375	180	0	3	1	2
13	0	6.8375	90	0	3	0	2
-1	44.443752	3.41875	90	0	-1	13	1
13	41.025	3.41875	0	0	3	12	1
13	37.60625	3.41875	90	0	3	11	1
13	34.1875	3.41875	90	0	3	10	1
13	30.768751	3.41875	180	0	3	9	1
13	27.35	3.41875	90	0	3	8	1
13	23.93125	3.41875	0	0	3	7	1
14	20.5125	3.41875	180	7	1	6	1
3	17.09375	3.41875	0	3.5	1	5	1
13	13.675	3.41875	270	0	3	4	1
2	10.25625	3.41875	0	4	0	3	1
3	6.8375	3.41875	0	3.5	1	2	1
13	3.41875	3.41875	270	0	3	1	1
13	0	3.41875	180	0	3	0	1
-1	44.443752	0	90	0	-1	13	0
13	41.025	0	90	0	3	12	0
13	37.60625	0	270	0	3	11	0
13	34.1875	0	0	0	3	10	0
13	30.768751	0	270	0	3	9	0
13	27.35	0	270	0	3	8	0
13	23.93125	0	270	0	3	7	0
0	20.5125	0	270	2	1	6	0
0	17.09375	0	90	2	1	5	0
13	13.675	0	270	0	3	4	0
2	10.25625	0	270	4	0	3	0
7	6.8375	0	180	9.25	1	2	0
13	3.41875	0	90	0	3	1	0
13	0	0	0	0	3	0	0
0.5	0.5	5	-1
				
